title,Author,ASIN,seedNode,Modularity Class,In-Degree,Out-Degree,Degree,Eigenvector Centrality
Digital Labor: The Internet as Playground and Factory,Trebor Scholz (ed),0415896959,,1,1,0,1,0.04870118392351661
Networks of Outrage and Hope: Social Movements in the Internet Age,Manuel Castells,0745662854,,1,1,0,1,0.04870118392351661
The Democracy of Objects,Levi R. Bryant,1607852047,,6,1,0,1,0.07990142018033553
The Quadruple Object,Graham Harman,1846947006,,6,1,0,1,0.07990142018033553
Vibrant Matter: A Political Ecology of Things (a John Hope Franklin Center Book),Jane Bennett,0822346338,,6,1,0,1,0.07990142018033553
After Finitude: An Essay on the Necessity of Contingency,Quentin Meillassoux,1441173838,,6,1,0,1,0.07990142018033553
"New Materialisms: Ontology, Agency, and Politics","Diana Coole,Samantha Frost (eds)",0822347725,,6,1,0,1,0.07990142018033553
"Vampyroteuthis Infernalis: A Treatise, with a Report by the Institut Scientifique de Recherche Paranaturaliste (Posthumanities)","Vilem Flusser, Louis Bec",0816678227,,6,1,0,1,0.07990142018033553
We Have Never Been Modern,Bruno Latour,0674948394,,6,1,0,1,0.07990142018033553
Weird Realism: Lovecraft and Philosophy,Graham Harman,1780992521,,6,1,0,1,0.07990142018033553
"Digital History: A Guide to Gathering, Preserving, and Presenting the Past on the Web","Daniel Cohen, Roy Rosenzweig",0812219236,,4,1,0,1,0.07900759853731662
"",,,,5,0,0,0,0.0
Hypertext: The Convergence of Contemporary Critical Theory and Technology (Parallax: Re-visions of Culture and Society),Professor George P. Landow (ed),0801842816,false,9,2,5,7,0.009576168520186553
Hypertext 2.0: The Convergence of Contemporary Critical Theory and Technology (Parallax: Re-visions of Culture and Society),Professor George P. Landow,0801855861,,9,2,4,6,0.009576168520186553
Hyper/Text/Theory,George P. Landow (ed),0801848385,,9,2,10,12,0.009576168520186553
Hypertext 3.0: Critical Theory and New Media in an Era of Globalization (Parallax: Re-visions of Culture and Society),George P. Landow,0801882575,false,9,6,10,16,0.12384947229940009
Experience And Education,John Dewey,0684838281,,9,1,0,1,0.004788084260093271
The Cambridge Introduction to Narrative (Cambridge Introductions to Literature),H. Porter Abbott,0521715156,,9,1,0,1,0.004788084260093271
Narrative as Virtual Reality: Immersion and Interactivity in Literature and Electronic Media (Parallax: Re-visions of Culture and Society),Marie-Laure Ryan,0801877539,,9,1,0,1,0.004788084260093271
"Man, Play and Games",Roger Caillois,025207033X,,0,2,0,2,0.06561974430292067
Inter/vention: Free Play in the Age of Electracy,Jan Rune Holmevik,0262017059,,6,2,10,12,0.03196048288739111
Digital Prohibition: Piracy and Authorship in New Media Art,Carolyn Guertin,1441131906,,7,2,4,6,0.03196048288739111
New Directions in Digital Poetry (International Texts in Critical Media Aesthetics),C.T. Funkhouser,1441115919,false,7,4,10,14,0.05817351882723808
Unoriginal Genius: Poetry by Other Means in the New Century,Marjorie Perloff,0226660613,,7,7,10,17,0.08633775201544641
Hacking the Academy: New Approaches to Scholarship and Teaching from Digital Humanities,"Daniel J. Cohen, Dr. Joseph Thomas Scheinfeldt PhD",0472051989,false,8,0,0,0,0.0
The Book History Reader,"David Finkelstein,Alistair McCleery (eds)",0415359481,,9,2,10,12,0.02930157918144529
"Writing Space: Computers, Hypertext, and the Remediation of Print",Jay David Bolter,0805829199,,9,1,10,11,0.023307775401668743
78 Reasons Why Your Book May Never Be Published and 14 Reasons Why It Just Might,Pat Walsh,0143035657,,9,1,10,11,0.023307775401668743
"Book Business: Publishing Past, Present, and Future",Jason Epstein,0393322343,,9,3,10,13,0.03949860965289165
"Bookmaking: Editing, Design, Production (Third Edition)",Marshall Lee,0393732967,,9,3,10,13,0.03949860965289165
The Language Police: How Pressure Groups Restrict What Students Learn,Diane Ravitch,1400030641,,9,2,10,12,0.02930157918144529
Afternoon: A Story,Michael Joyce,1884511015,,2,1,10,11,0.023307775401668743
"Scribes, Script, and Books",Leila Avrin,0838910386,,9,1,0,1,0.007655858039354875
The Book: The Life Story of a Technology,Nicole Howard,0801893119,,9,2,0,2,0.017852888510801246
An Introduction to Book History,"David Finkelstein, Alistair McCleery",041568806X,,9,1,0,1,0.007655858039354875
Introduction to Manuscript Studies,"Raymond Clemens, Timothy Graham",0801487080,,9,2,0,2,0.013649661819131392
"The Coming of the Book: The Impact of Printing, 1450-1800 (Third Edition)  (Verso World History Series)","Lucien Febvre, Henri-Jean Martin",1844676331,,9,1,0,1,0.007655858039354875
A Companion to the History of the Book (Blackwell Companions to Literature and Culture),"Simon Eliot,Jonathan Rose (eds)",140519278X,,9,1,0,1,0.007655858039354875
Old Books and New Histories: An Orientation to Studies in Book and Print Culture,Leslie Howsam,0802094384,,9,1,0,1,0.007655858039354875
"The Coming of the Book: The Impact of Printing, 1450-1800 (Verso Classics)","Lucien Febvre, Henri-Jean Martin",1859841082,,9,1,0,1,0.007655858039354875
The Printing Revolution in Early Modern Europe (Canto Classics),Elizabeth L. Eisenstein,1107632757,,9,1,0,1,0.007655858039354875
History of Libraries of the Western World,Michael H. Harris,0810837242,,9,1,0,1,0.007655858039354875
Print Is Dead: Books in Our Digital Age,Jeff Gomez,0230614469,,9,1,0,1,0.005993803779776524
The Late Age of Print: Everyday Book Culture from Consumerism to Control,Ted Striphas,0231148151,,9,1,0,1,0.005993803779776524
"The Story of Writing: Alphabets, Hieroglyphs, & Pictograms, Second Edition",Andrew Robinson,0500286604,,9,1,0,1,0.005993803779776524
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,0393339750,,9,1,0,1,0.005993803779776524
"When Information Came of Age: Technologies of Knowledge in the Age of Reason and Revolution, 1700-1850",Daniel R. Headrick,0195153731,,9,1,0,1,0.005993803779776524
The Saturated Self: Dilemmas Of Identity In Contemporary Life,Kenneth Gergen,0465071856,,9,1,0,1,0.005993803779776524
Where Wizards Stay Up Late: The Origins Of The Internet,Katie Hafner,0684832674,,9,1,0,1,0.005993803779776524
Technologies of the Gendered Body: Reading Cyborg Women,Anne Balsamo,0822316986,,9,1,0,1,0.005993803779776524
"A Critique of Modern Textual Criticism, Foreword by David C Greetham",Jerome J. McGann,0813914183,,4,1,0,1,0.09629189243988395
SpecLab: Digital Aesthetics and Projects in Speculative Computing,Johanna Drucker,0226165086,,4,1,0,1,0.09629189243988395
Textual Studies and the Common Reader: Essays on Editing Novels and Novelists,Alexander Pettit (ed),082032227X,,4,1,0,1,0.09629189243988395
How to Write a Book Proposal,Michael Larsen,158297702X,,9,1,0,1,0.005993803779776524
The First Five Pages: A Writer&quot;S Guide To Staying Out of the Rejection Pile,Noah Lukeman,068485743X,,9,1,0,1,0.005993803779776524
Formatting & Submitting Your Manuscript,Chuck Sambuchino,158297571X,,9,1,0,1,0.005993803779776524
The Writer&quot;s Digest Guide To Query Letters,Wendy Burt-Thomas,1582975663,,9,1,0,1,0.005993803779776524
On Writing: 10th Anniversary Edition: A Memoir of the Craft,Stephen King,1439156816,,9,1,0,1,0.005993803779776524
Publishing for Profit: Successful Bottom-Line Management for Book Publishers,Thomas Woll,155652997X,,9,2,0,2,0.02039406094289276
The Business of Books: How the International Conglomerates Took Over Publishing and Changed the Way We Read,Andre Schiffrin,185984362X,,9,1,0,1,0.010197030471446381
Merchants of Culture,John B. Thompson,0745647863,,9,1,0,1,0.010197030471446381
Editing Fact and Fiction: A Concise Guide to Book Editing,"Leslie T. Sharpe, Irene Gunther",0521456932,,9,1,0,1,0.010197030471446381
Editors on Editing: What Writers Need to Know About What Editors Do,Gerald  C. Gross (ed),0802132634,,9,2,0,2,0.02039406094289276
The Forest for the Trees (Revised and Updated): An Editor&quot;s Advice to Writers,Betsy Lerner,159448483X,,9,2,0,2,0.02039406094289276
The Art of Fiction: Illustrated from Classic and Modern Texts,David Lodge,0140174923,,9,1,0,1,0.010197030471446381
"The Fiction Editor, the Novel, and the Novelist: A Book for Writers, Teachers, Publishers, and Anyone Else Devoted to Fiction",Thomas McCormack,1589880307,,9,1,0,1,0.010197030471446381
"The Chicago Manual of Style, 16th Edition",University of Chicago Press Staff (ed),0226104206,,9,1,0,1,0.010197030471446381
On Book Design,Mr. Richard Hendel,0300075707,,9,1,0,1,0.010197030471446381
Book Design (abrams studio),Andrew Haslam,0810992205,,9,1,0,1,0.010197030471446381
The Copyeditor&quot;s Handbook: A Guide for Book Publishing and Corporate Communications,Amy Einsohn,0520271564,,9,1,0,1,0.010197030471446381
"Getting It Printed: How to Work With Printers and Graphic Imaging Services to Assure Quality, Stay on Schedule and Control Costs (Getting It Printed) 4th Edition",Eric Kenly,1581805772,,9,1,0,1,0.010197030471446381
Be a Kickass Assistant: How to Get from a Grunt Job to a Great Career,Heather Beckel,0446678147,,9,1,0,1,0.010197030471446381
Cultural Literacy: What Every American Needs to Know,E.D. Hirsch Jr.,0394758439,,9,1,0,1,0.007655858039354875
The Death and Life of the Great American School System: How Testing and Choice Are Undermining Education,Diane Ravitch,0465025579,,9,1,0,1,0.007655858039354875
Teaching What Really Happened: How to Avoid the Tyranny of Textbooks and Get Students Excited About Doing History (Multicultural Education Series),James W. Loewen,0807749915,,9,1,0,1,0.007655858039354875
"The Little, Brown Compact Handbook (8th Edition) (Aaron Little, Brown Franchise)",Jane E. Aaron,020523660X,,9,1,0,1,0.007655858039354875
Diversity: The Invention of a Concept,Peter Wood,1594030421,,9,1,0,1,0.007655858039354875
Forever . . .,Judy Blume,1416934006,,9,1,0,1,0.007655858039354875
