Id,Label,title,Author,ASIN,SalesRank,Publisher,PublicationDate,ProductGroup,ProductTypeName,Language,ListPrice,FormattedPrice,CurrencyCode,TotalUsed,NumberOfPages,ISBN,image,HasReviews,seedNode,crawlDepth,Time Interval
n-c4a7d8384f746b025b0301e090b12769,Weird Realism: Lovecraft and Philosophy by Graham Harman,Weird Realism: Lovecraft and Philosophy,Graham Harman,1780992521,93504,Zero Books,2012-09-16,Book,ABIS_BOOK,English,2495,$24.95,USD,12,277,1780992521,http://ecx.images-amazon.com/images/I/41MrJhPbCSL._SL75_.jpg,false,,2,"<[1.3477464E12, 1.3477464E12]>"
n-172e3bbf80edbe1e84a9a0c3d2b85a39,The Missing Ink: The Lost Art of Handwriting by Philip Hensher,The Missing Ink: The Lost Art of Handwriting,Philip Hensher,0865478937,90514,Faber & Faber,2012-11-27,Book,ABIS_BOOK,English,2600,$26.00,USD,17,288,0865478937,http://ecx.images-amazon.com/images/I/617Rp5CjhqL._SL75_.jpg,false,,2,"<[1.3539708E12, 1.3539708E12]>"
n-c3733e6e945bb7378ca06e6b3a7f7192,Dreaming in Books: The Making of the Bibliographic Imagination in the Romantic Age by Andrew Piper,Dreaming in Books: The Making of the Bibliographic Imagination in the Romantic Age,Andrew Piper,0226669726,348337,University Of Chicago Press,2009-08-01,Book,ABIS_BOOK,English,3500,$35.00,USD,13,320,0226669726,http://ecx.images-amazon.com/images/I/41AGPh10tLL._SL75_.jpg,,,2,"<[1.2490776E12, 1.2490776E12]>"
n-e17650c8ee2ba66e66cf07f67bc3079a,The Demon of Writing: Powers and Failures of Paperwork by Ben Kafka,The Demon of Writing: Powers and Failures of Paperwork,Ben Kafka,1935408267,74413,Zone Books,2012-11-02,Book,ABIS_BOOK,English,2895,$28.95,USD,12,208,1935408267,http://ecx.images-amazon.com/images/I/51BrxYDrnTL._SL75_.jpg,false,,2,"<[1.3518108E12, 1.3518108E12]>"
n-1adb91ae2462d5ad1e5b3b016124cade,One for the Books by Joe Queenan,One for the Books,Joe Queenan,0670025828,25063,Viking Adult,2012-10-25,Book,ABIS_BOOK,English,2495,$24.95,USD,16,256,0670025828,http://ecx.images-amazon.com/images/I/51aJbD9qctL._SL75_.jpg,false,,2,"<[1.351116E12, 1.351116E12]>"
n-84cc6605918a6aa05bde9b3766a84209,Monsieur Proust&quot;s Library by Anka Muhlstein,Monsieur Proust&quot;s Library,Anka Muhlstein,1590515668,13542,Other Press,2012-11-06,Book,ABIS_BOOK,English,1995,$19.95,USD,23,160,1590515668,http://ecx.images-amazon.com/images/I/51MybC-QriL._SL75_.jpg,false,,2,"<[1.3521564E12, 1.3521564E12]>"
n-4406871ccdf10a29d78e360109b3e2c8,Mr. Penumbra&quot;s 24-Hour Bookstore: A Novel by Robin Sloan,Mr. Penumbra&quot;s 24-Hour Bookstore: A Novel,Robin Sloan,0374214913,1093,"Farrar, Straus and Giroux",2012-10-02,Book,ABIS_BOOK,English,2500,$25.00,USD,12,304,0374214913,http://ecx.images-amazon.com/images/I/51Py-rP96UL._SL75_.jpg,false,,2,"<[1.3491288E12, 1.3491288E12]>"
n-534be0bb7e30cf926bc13c3e576734b9,The Shallows: What the Internet Is Doing to Our Brains by Nicholas Carr,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,0393339750,492,W. W. Norton & Company,2011-06-06,Book,ABIS_BOOK,English,1595,$15.95,USD,60,280,0393339750,http://ecx.images-amazon.com/images/I/4197RTFGLFL._SL75_.jpg,false,,2,"<[1.3073112E12, 1.3073112E12]>"
n-a7534e66d39e606a5fcdff6919153d8d,"My Bookstore: Writers Celebrate Their Favorite Places to Browse, Read, and Shop by Ronald Rice (ed)","My Bookstore: Writers Celebrate Their Favorite Places to Browse, Read, and Shop",Ronald Rice (ed),1579129102,39428,Black Dog & Leventhal Publishers,2012-11-13,Book,ABIS_BOOK,English,2395,$23.95,USD,20,384,1579129102,http://ecx.images-amazon.com/images/I/51Xfhy3yQDL._SL75_.jpg,false,,2,"<[1.3527612E12, 1.3527612E12]>"
n-d0be8a1ca2e6d921b144bcf4149497bb,Paper: An Elegy by Ian Sansom,Paper: An Elegy,Ian Sansom,0007480261,415591,Fourth Estate,2012-10-25,Book,ABIS_BOOK,English,,,,6,192,0007480261,http://ecx.images-amazon.com/images/I/519KFTyTevL._SL75_.jpg,,,2,"<[1.351116E12, 1.351116E12]>"
n-491fb55a013173c7e22771908928c6bd,Post-History (Univocal) by Vilem Flusser,Post-History (Univocal),Vilem Flusser,1937561097,665496,Univocal Publishing,2013-02-01,Book,ABIS_BOOK,English,2495,$24.95,USD,,170,1937561097,http://ecx.images-amazon.com/images/I/31oLsLABt4L._SL75_.jpg,,,2,"<[1.3596732E12, 1.3596732E12]>"
n-2d7840e8af89cdec6e764378e2421793,"Our Aesthetic Categories: Zany, Cute, Interesting by Sianne Ngai","Our Aesthetic Categories: Zany, Cute, Interesting",Sianne Ngai,0674046587,94396,Harvard University Press,2012-10-15,Book,ABIS_BOOK,English,3995,$39.95,USD,11,344,0674046587,http://ecx.images-amazon.com/images/I/51JyXEbn9OL._SL75_.jpg,,,2,"<[1.350252E12, 1.350252E12]>"
n-1552198d18e65abb7d3585a515930a32,Two Lessons on Animal and Man (Univocal) by Gilbert Simondon,Two Lessons on Animal and Man (Univocal),Gilbert Simondon,1937561011,257236,Univocal Publishing,2012-06-13,Book,ABIS_BOOK,English,1995,$19.95,USD,7,92,1937561011,http://ecx.images-amazon.com/images/I/41wlZRIU8DL._SL75_.jpg,,,2,"<[1.3395384E12, 1.3395384E12]>"
n-e18d67a362cfef9fd7c902c8e2581f78,What Is Posthumanism? (Posthumanities) by Cary Wolfe,What Is Posthumanism? (Posthumanities),Cary Wolfe,0816666156,232594,Univ Of Minnesota Press,2009-12-31,Book,ABIS_BOOK,English,2495,$24.95,USD,25,400,0816666156,http://ecx.images-amazon.com/images/I/51WDNyQlKgL._SL75_.jpg,false,,2,"<[1.262214E12, 1.262214E12]>"
n-117a236cc10b11d8e6f7f9129571886c,When Species Meet (Posthumanities) by Donna J. Haraway,When Species Meet (Posthumanities),Donna J. Haraway,0816650462,72575,Univ Of Minnesota Press,2007-11-26,Book,ABIS_BOOK,English,2495,$24.95,USD,32,360,0816650462,http://ecx.images-amazon.com/images/I/31EEXoV6P%2BL._SL75_.jpg,false,,2,"<[1.1960316E12, 1.1960316E12]>"
n-3cafb6e34f78d9f821db5ef6fadab766,The Animal That Therefore I Am (Perspectives in Continental Philosophy) by Jacques Derrida,The Animal That Therefore I Am (Perspectives in Continental Philosophy),Jacques Derrida,082322791X,93817,Fordham University Press,2008-04-15,Book,ABIS_BOOK,English,2300,$23.00,USD,20,192,082322791X,http://ecx.images-amazon.com/images/I/31SzENz9J7L._SL75_.jpg,false,,2,"<[1.2082104E12, 1.2082104E12]>"
